87,151,Department of Petroleum Engineering,Petroleum Engineering Technology,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
152,152,College of life sciences - ETM,College of life sciences - ETM,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
47,153,Department of Civil Engineering,Civil Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
154,154,Department of Physical Therapy,Physical Therapy,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
155,155,Department of Philosophy,Philosophy,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
156,156,إعلام,إعلام,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
157,157,Department of Mass Communication (Advertising and Public Relations),Mass Communication - Public relations and advertising,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
17,158,Department Of Economics,econ,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
87,159,Department of Petroleum Engineering,Petroleum And Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
33,160,Department of Business Management,Business Management,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
146,161,Finance & Financial Institutions,finance snd financial institutions,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
162,162,التاريخ,التاريخ,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
163,163,تاريخ,تاريخ,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
64,164,Department of Advertising and Public Relations,PR & Ads,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
165,165,قسم الإعلام,قسم الإعلام,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
166,166,Department of History,history,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
72,167,Department Of English Language and Literature,English Language & Literature Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
26,168,Department of English,English major,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
169,169,Français,Français,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,yes
170,170,لغة عربية - مساند إعلام,لغة عربية - مساند إعلام,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
154,171,Department of Physical Therapy,Physiotherapy,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
154,172,Department of Physical Therapy,PT,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
173,173,الرئيسي إعلام - المساند لغة عربية,الرئيسي إعلام - المساند لغة عربية,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
